"ID","cluster","cluster.name","hex"
36943,5,4,"#6ca6cdff"
36944,5,4,"#6ca6cdff"
36954,3,2,"#eead0eff"
36955,5,4,"#6ca6cdff"
36993,1,3,"#43cd80ff"
36994,1,3,"#43cd80ff"
36998,2,1,"#cd2626ff"
36999,2,1,"#cd2626ff"
37000,1,3,"#43cd80ff"
37001,3,2,"#eead0eff"
37002,3,2,"#eead0eff"
37003,3,2,"#eead0eff"
37020,2,1,"#cd2626ff"
37021,2,1,"#cd2626ff"
37022,2,1,"#cd2626ff"
37023,2,1,"#cd2626ff"
37024,2,1,"#cd2626ff"
37025,2,1,"#cd2626ff"
37026,1,3,"#43cd80ff"
37169,2,1,"#cd2626ff"
37170,2,1,"#cd2626ff"
37171,2,1,"#cd2626ff"
37172,2,1,"#cd2626ff"
37173,2,1,"#cd2626ff"
37177,2,1,"#cd2626ff"
37179,5,4,"#6ca6cdff"
37199,1,3,"#43cd80ff"
37200,1,3,"#43cd80ff"
37201,1,3,"#43cd80ff"
37244,3,2,"#eead0eff"
37245,3,2,"#eead0eff"
37303,5,4,"#6ca6cdff"
37304,5,4,"#6ca6cdff"
37353,1,3,"#43cd80ff"
37354,1,3,"#43cd80ff"
37359,3,2,"#eead0eff"
37360,1,3,"#43cd80ff"
37361,3,2,"#eead0eff"
37362,2,1,"#cd2626ff"
37370,3,2,"#eead0eff"
37381,2,1,"#cd2626ff"
37382,2,1,"#cd2626ff"
37383,2,1,"#cd2626ff"
37384,2,1,"#cd2626ff"
37385,2,1,"#cd2626ff"
37528,2,1,"#cd2626ff"
37529,2,1,"#cd2626ff"
37537,2,1,"#cd2626ff"
37538,5,4,"#6ca6cdff"
37559,2,1,"#cd2626ff"
37560,2,1,"#cd2626ff"
37604,3,2,"#eead0eff"
37661,2,1,"#cd2626ff"
37663,3,2,"#eead0eff"
37718,3,2,"#eead0eff"
37719,3,2,"#eead0eff"
37730,3,2,"#eead0eff"
37741,3,2,"#eead0eff"
37742,2,1,"#cd2626ff"
37743,2,1,"#cd2626ff"
37744,2,1,"#cd2626ff"
37745,2,1,"#cd2626ff"
37883,2,1,"#cd2626ff"
37884,2,1,"#cd2626ff"
37885,1,3,"#43cd80ff"
37887,2,1,"#cd2626ff"
37888,2,1,"#cd2626ff"
37892,5,4,"#6ca6cdff"
37893,2,1,"#cd2626ff"
37894,4,5,"#b452cdff"
37895,2,1,"#cd2626ff"
37896,2,1,"#cd2626ff"
37897,2,1,"#cd2626ff"
37919,2,1,"#cd2626ff"
37964,3,2,"#eead0eff"
38020,2,1,"#cd2626ff"
38021,2,1,"#cd2626ff"
38023,5,4,"#6ca6cdff"
38061,2,1,"#cd2626ff"
38062,2,1,"#cd2626ff"
38075,3,2,"#eead0eff"
38076,3,2,"#eead0eff"
38078,3,2,"#eead0eff"
38100,2,1,"#cd2626ff"
38101,3,2,"#eead0eff"
38102,2,1,"#cd2626ff"
38103,2,1,"#cd2626ff"
38240,2,1,"#cd2626ff"
38241,2,1,"#cd2626ff"
38242,2,1,"#cd2626ff"
38243,2,1,"#cd2626ff"
38245,1,3,"#43cd80ff"
38246,2,1,"#cd2626ff"
38247,2,1,"#cd2626ff"
38252,2,1,"#cd2626ff"
38253,5,4,"#6ca6cdff"
38254,2,1,"#cd2626ff"
38255,2,1,"#cd2626ff"
38279,2,1,"#cd2626ff"
38324,3,2,"#eead0eff"
38380,2,1,"#cd2626ff"
38381,5,4,"#6ca6cdff"
38382,5,4,"#6ca6cdff"
38383,5,4,"#6ca6cdff"
38422,3,2,"#eead0eff"
38423,3,2,"#eead0eff"
38435,3,2,"#eead0eff"
38436,3,2,"#eead0eff"
38437,3,2,"#eead0eff"
38438,3,2,"#eead0eff"
38448,3,2,"#eead0eff"
38460,2,1,"#cd2626ff"
38461,3,2,"#eead0eff"
38463,2,1,"#cd2626ff"
38598,2,1,"#cd2626ff"
38599,2,1,"#cd2626ff"
38600,2,1,"#cd2626ff"
38612,2,1,"#cd2626ff"
38613,5,4,"#6ca6cdff"
38623,3,2,"#eead0eff"
38624,2,1,"#cd2626ff"
38629,2,1,"#cd2626ff"
38633,1,3,"#43cd80ff"
38634,2,1,"#cd2626ff"
38635,2,1,"#cd2626ff"
38636,1,3,"#43cd80ff"
38638,2,1,"#cd2626ff"
38639,1,3,"#43cd80ff"
38739,3,2,"#eead0eff"
38742,3,2,"#eead0eff"
38743,5,4,"#6ca6cdff"
38755,3,2,"#eead0eff"
38774,3,2,"#eead0eff"
38795,3,2,"#eead0eff"
38798,3,2,"#eead0eff"
38807,3,2,"#eead0eff"
38821,3,2,"#eead0eff"
38823,2,1,"#cd2626ff"
38905,3,2,"#eead0eff"
38956,2,1,"#cd2626ff"
38957,2,1,"#cd2626ff"
38958,2,1,"#cd2626ff"
38964,2,1,"#cd2626ff"
38965,2,1,"#cd2626ff"
38966,2,1,"#cd2626ff"
38967,2,1,"#cd2626ff"
38968,2,1,"#cd2626ff"
38969,2,1,"#cd2626ff"
38970,2,1,"#cd2626ff"
38972,2,1,"#cd2626ff"
38973,5,4,"#6ca6cdff"
38982,2,1,"#cd2626ff"
38983,3,2,"#eead0eff"
38984,2,1,"#cd2626ff"
38986,2,1,"#cd2626ff"
38987,2,1,"#cd2626ff"
38988,2,1,"#cd2626ff"
38989,2,1,"#cd2626ff"
38990,2,1,"#cd2626ff"
38991,2,1,"#cd2626ff"
38992,2,1,"#cd2626ff"
38993,2,1,"#cd2626ff"
38994,2,1,"#cd2626ff"
38995,2,1,"#cd2626ff"
38996,2,1,"#cd2626ff"
38997,2,1,"#cd2626ff"
39098,5,4,"#6ca6cdff"
39099,5,4,"#6ca6cdff"
39102,3,2,"#eead0eff"
39133,2,1,"#cd2626ff"
39134,2,1,"#cd2626ff"
39154,3,2,"#eead0eff"
39155,3,2,"#eead0eff"
39166,3,2,"#eead0eff"
39167,2,1,"#cd2626ff"
39170,3,2,"#eead0eff"
39171,3,2,"#eead0eff"
39181,2,1,"#cd2626ff"
39182,1,3,"#43cd80ff"
39183,2,1,"#cd2626ff"
39315,2,1,"#cd2626ff"
39316,2,1,"#cd2626ff"
39324,2,1,"#cd2626ff"
39325,2,1,"#cd2626ff"
39329,2,1,"#cd2626ff"
39330,2,1,"#cd2626ff"
39333,2,1,"#cd2626ff"
39339,2,1,"#cd2626ff"
39340,5,4,"#6ca6cdff"
39343,5,4,"#6ca6cdff"
39344,3,2,"#eead0eff"
39345,3,2,"#eead0eff"
39346,3,2,"#eead0eff"
39347,5,4,"#6ca6cdff"
39348,5,4,"#6ca6cdff"
39349,2,1,"#cd2626ff"
39350,2,1,"#cd2626ff"
39351,2,1,"#cd2626ff"
39352,2,1,"#cd2626ff"
39458,2,1,"#cd2626ff"
39461,3,2,"#eead0eff"
39493,2,1,"#cd2626ff"
39494,2,1,"#cd2626ff"
39514,3,2,"#eead0eff"
39515,5,4,"#6ca6cdff"
39526,4,5,"#b452cdff"
39527,3,2,"#eead0eff"
39529,3,2,"#eead0eff"
39530,3,2,"#eead0eff"
39531,3,2,"#eead0eff"
39542,2,1,"#cd2626ff"
39675,2,1,"#cd2626ff"
39683,2,1,"#cd2626ff"
39684,2,1,"#cd2626ff"
39690,2,1,"#cd2626ff"
39693,2,1,"#cd2626ff"
39694,2,1,"#cd2626ff"
39701,5,4,"#6ca6cdff"
39702,5,4,"#6ca6cdff"
39703,5,4,"#6ca6cdff"
39704,5,4,"#6ca6cdff"
39705,5,4,"#6ca6cdff"
39706,5,4,"#6ca6cdff"
39707,3,2,"#eead0eff"
39818,3,2,"#eead0eff"
39820,5,4,"#6ca6cdff"
39821,3,2,"#eead0eff"
39851,2,1,"#cd2626ff"
39852,1,3,"#43cd80ff"
39853,1,3,"#43cd80ff"
39867,3,2,"#eead0eff"
39868,3,2,"#eead0eff"
39873,3,2,"#eead0eff"
39874,3,2,"#eead0eff"
39887,3,2,"#eead0eff"
39888,3,2,"#eead0eff"
39890,3,2,"#eead0eff"
39891,3,2,"#eead0eff"
39981,5,4,"#6ca6cdff"
39982,5,4,"#6ca6cdff"
39983,5,4,"#6ca6cdff"
39984,5,4,"#6ca6cdff"
40035,2,1,"#cd2626ff"
40043,2,1,"#cd2626ff"
40050,2,1,"#cd2626ff"
40051,2,1,"#cd2626ff"
40052,2,1,"#cd2626ff"
40053,2,1,"#cd2626ff"
40054,2,1,"#cd2626ff"
40056,5,4,"#6ca6cdff"
40057,5,4,"#6ca6cdff"
40058,5,4,"#6ca6cdff"
40059,5,4,"#6ca6cdff"
40060,5,4,"#6ca6cdff"
40061,5,4,"#6ca6cdff"
40062,5,4,"#6ca6cdff"
40063,5,4,"#6ca6cdff"
40064,2,1,"#cd2626ff"
40065,5,4,"#6ca6cdff"
40067,3,2,"#eead0eff"
40068,5,4,"#6ca6cdff"
40069,5,4,"#6ca6cdff"
40177,5,4,"#6ca6cdff"
40180,3,2,"#eead0eff"
40210,3,2,"#eead0eff"
40212,3,2,"#eead0eff"
40213,1,3,"#43cd80ff"
40227,3,2,"#eead0eff"
40228,3,2,"#eead0eff"
40229,3,2,"#eead0eff"
40230,3,2,"#eead0eff"
40231,3,2,"#eead0eff"
40232,3,2,"#eead0eff"
40233,3,2,"#eead0eff"
40247,3,2,"#eead0eff"
40248,3,2,"#eead0eff"
40249,3,2,"#eead0eff"
40250,3,2,"#eead0eff"
40251,3,2,"#eead0eff"
40252,3,2,"#eead0eff"
40253,3,2,"#eead0eff"
40394,2,1,"#cd2626ff"
40395,2,1,"#cd2626ff"
40402,2,1,"#cd2626ff"
40403,3,2,"#eead0eff"
40416,5,4,"#6ca6cdff"
40417,2,1,"#cd2626ff"
40418,2,1,"#cd2626ff"
40419,5,4,"#6ca6cdff"
40420,5,4,"#6ca6cdff"
40421,5,4,"#6ca6cdff"
40422,5,4,"#6ca6cdff"
40423,5,4,"#6ca6cdff"
40426,5,4,"#6ca6cdff"
40427,5,4,"#6ca6cdff"
40428,5,4,"#6ca6cdff"
40536,1,3,"#43cd80ff"
40537,3,2,"#eead0eff"
40539,5,4,"#6ca6cdff"
40540,5,4,"#6ca6cdff"
40560,3,2,"#eead0eff"
40570,1,3,"#43cd80ff"
40571,2,1,"#cd2626ff"
40573,1,3,"#43cd80ff"
40589,3,2,"#eead0eff"
40590,3,2,"#eead0eff"
40591,3,2,"#eead0eff"
40592,3,2,"#eead0eff"
40613,3,2,"#eead0eff"
40614,3,2,"#eead0eff"
40615,3,2,"#eead0eff"
40753,2,1,"#cd2626ff"
40754,2,1,"#cd2626ff"
40763,2,1,"#cd2626ff"
40777,2,1,"#cd2626ff"
40778,2,1,"#cd2626ff"
40779,2,1,"#cd2626ff"
40780,5,4,"#6ca6cdff"
40781,2,1,"#cd2626ff"
40783,5,4,"#6ca6cdff"
40784,5,4,"#6ca6cdff"
40785,5,4,"#6ca6cdff"
40786,5,4,"#6ca6cdff"
40896,1,3,"#43cd80ff"
40899,5,4,"#6ca6cdff"
40913,3,2,"#eead0eff"
40919,2,1,"#cd2626ff"
40928,2,1,"#cd2626ff"
