ID,cluster,cluster.name,hex
30893,7,18,#FF6A6A
30909,7,18,#FF6A6A
30910,3,5,#EEAD0E
30911,7,18,#FF6A6A
31108,7,18,#FF6A6A
31272,7,18,#FF6A6A
32000,7,18,#FF6A6A
32394,7,18,#FF6A6A
33014,7,18,#FF6A6A
33060,7,18,#FF6A6A
33094,18,14,#9F79EE
33113,2,13,#EEAEEE
33405,9,17,#EE799F
34453,7,18,#FF6A6A
34476,18,14,#9F79EE
34534,7,18,#FF6A6A
34543,4,8,#43CD80
34544,4,8,#43CD80
34550,7,18,#FF6A6A
34834,7,18,#FF6A6A
34856,7,18,#FF6A6A
34866,5,3,#EE7600
34884,7,18,#FF6A6A
34900,1,6,#EEDC82
35194,3,5,#EEAD0E
35214,18,14,#9F79EE
35244,7,18,#FF6A6A
35537,18,14,#9F79EE
35539,18,14,#9F79EE
35554,3,5,#EEAD0E
35567,18,14,#9F79EE
35580,16,10,#6CA6CD
35608,7,18,#FF6A6A
35612,7,18,#FF6A6A
35628,7,18,#FF6A6A
35632,7,18,#FF6A6A
35897,18,14,#9F79EE
35913,7,18,#FF6A6A
35924,18,14,#9F79EE
35960,1,6,#EEDC82
35966,7,18,#FF6A6A
35981,1,6,#EEDC82
36097,1,6,#EEDC82
36120,1,6,#EEDC82
36253,14,4,#EEC900
36256,18,14,#9F79EE
36257,18,14,#9F79EE
36290,18,14,#9F79EE
36474,1,6,#EEDC82
36477,1,6,#EEDC82
36613,18,14,#9F79EE
36616,18,14,#9F79EE
36649,7,18,#FF6A6A
36945,7,18,#FF6A6A
36975,18,14,#9F79EE
36976,18,14,#9F79EE
36981,18,14,#9F79EE
37010,18,14,#9F79EE
37335,18,14,#9F79EE
37341,18,14,#9F79EE
37664,18,14,#9F79EE
37695,18,14,#9F79EE
37701,18,14,#9F79EE
38054,18,14,#9F79EE
38414,18,14,#9F79EE
38449,18,14,#9F79EE
38637,1,6,#EEDC82
38808,18,14,#9F79EE
38846,7,18,#FF6A6A
38978,1,6,#EEDC82
39145,18,14,#9F79EE
39206,7,18,#FF6A6A
39341,1,6,#EEDC82
39404,7,18,#FF6A6A
39505,18,14,#9F79EE
39506,18,14,#9F79EE
