ID,mang_presence,salt_presence,seag_presence
41831,1,0,0
41843,1,1,1
41858,1,1,1
41859,1,1,1
41860,1,1,1
41862,1,0,0
41863,1,0,1
41864,1,0,1
41974,1,0,1
41975,1,0,1
41976,1,0,1
41977,1,0,1
41990,1,0,1
41991,1,0,1
41992,1,0,1
41996,1,0,1
41997,1,0,1
41998,1,0,0
42060,1,1,0
42061,1,1,0
42068,1,0,1
42069,1,0,1
42186,1,1,0
42187,1,1,0
42188,1,0,0
42189,1,0,0
42190,1,0,0
42191,1,0,0
42218,1,1,1
42220,1,1,1
42222,1,0,1
42223,1,0,1
42336,1,0,1
42350,1,0,1
42356,1,0,1
42357,1,0,1
42421,1,1,0
42548,1,0,0
42549,1,0,0
42578,1,1,1
42580,1,1,1
42695,1,0,1
42782,1,1,0
42908,1,0,0
42929,1,1,0
42930,1,1,0
42931,1,1,0
42932,1,1,1
42937,1,1,1
42938,1,1,1
42940,1,1,1
43983,1,1,1
44342,1,1,0
44343,1,1,0
15828,0,1,0
15829,0,1,0
15830,0,1,0
15831,0,1,0
16191,0,1,0
16548,0,1,0
16552,0,1,0
16675,0,1,0
16886,0,1,1
16887,0,1,1
16888,0,1,1
16909,0,1,0
16910,0,1,0
16911,0,1,0
16913,0,1,0
17036,0,1,0
17246,0,1,0
17248,0,1,1
17249,0,1,1
17271,0,1,0
17272,0,1,0
17274,0,1,0
17398,0,1,0
17605,0,1,0
17606,0,1,0
17607,0,1,1
17608,0,1,1
17609,0,1,1
17632,0,1,0
17633,0,1,0
17634,0,1,0
17635,0,1,0
17756,0,1,0
17758,0,1,0
17964,0,1,0
17965,0,1,1
17966,0,1,1
17968,0,1,1
17969,0,1,1
17993,0,1,0
17994,0,1,0
17996,0,1,0
17997,0,1,0
18118,0,1,0
18119,0,1,0
18324,0,1,0
18327,0,1,0
18328,0,1,1
18356,0,1,0
18357,0,1,0
18358,0,1,0
18478,0,1,0
18479,0,1,0
18681,0,1,0
18682,0,1,1
18683,0,1,0
18688,0,1,1
18715,0,1,0
18843,0,1,0
19045,0,1,1
19048,0,1,1
19049,0,1,0
19050,0,1,1
19078,0,1,0
19397,0,1,0
19400,0,1,1
19737,0,1,0
19738,0,1,1
19758,0,1,1
19759,0,1,1
19924,0,1,0
19925,0,1,0
20001,0,1,0
20002,0,1,0
20004,0,1,0
20096,0,1,1
20097,0,1,0
20098,0,1,1
20099,0,1,1
20100,0,1,1
20116,0,1,1
20365,0,1,0
20366,0,1,0
20456,0,1,1
20648,0,1,0
20719,0,1,0
20816,0,1,1
20989,0,1,0
21008,0,1,0
21009,0,1,0
21079,0,1,0
21176,0,1,1
21214,0,1,0
21349,0,1,0
21709,0,1,0
22069,0,1,0
22430,0,1,0
23624,0,1,0
25310,0,1,0
25670,0,1,0
26029,0,1,0
26030,0,1,0
26225,0,1,0
26597,0,1,0
26951,0,1,0
27464,0,1,0
27823,0,1,0
27824,0,1,0
28183,0,1,0
28543,0,1,0
29621,0,1,0
29981,0,1,0
30340,0,1,0
37405,0,1,1
38126,0,1,0
39169,0,1,1
